category,file,line,snippet
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,96,| * cab71a0 fix(tenant): secure auth bootstrap for fail-closed
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,97,| * 75973de fix(tenant): harden tenant domain operations
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,98,| * 15477c3 fix(tenant): close raw client and favorite boundaries
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,99,| * 1d471e2 feat(tenant): add scoped tenant context propagation
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,100,| * 58e8365 fix(tenant): enforce required model isolation
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,101,| * 9f0f418 feat(tenant): add model policy registry and drift tests
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,162,* 7ecc398 Merge pull request #10 from ali599115225/repair/p1-tenant-mutation-hardening
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,164,| * 4ff777e fix(security): harden tenant-scoped mutations
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,178,| * c53837c fix(security): enforce tenant-scoped route mutations
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,180,| * 63cf565 fix(security): standardize public errors and tenant isolation proof
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,188,* 637878b fix(whatsapp): close test-bridge tenant scoping and status-ordering gaps
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,247,* 302b736 feat(realtime): add tenant sync API and retention cron
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,248,* e53fe09 feat(realtime): add durable tenant sync event foundation
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,284,* 270d6be fix(whatsapp): harden tenant integration foundation
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,288,* 23032f5 feat(whatsapp): add multi-tenant P0 data foundation — 11 models + enums + composite keys + kill switches
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,289,* 14ca96b fix(tenant): honor authenticated super admin tenant
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,300,* e25bb4d fix(security): restrict tenant suspension to authenticated cron
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,319,"* 2080d0c fix(dashboard): bilingual display names — names, cities, tenant"
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,397,* 7ca3e04 fix(agents): scope tenant lookup to active session
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,398,* 81131e7 test(seed): add verified stress tenant dataset
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,411,* 862ec6c fix: restrict tenant fallback to super-admin only — prevent cross-tenant leakage
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,412,* 6c5364e fix: prevent operations crash when no active tenant exists
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,414,* 8258958 security: harden auth tenant isolation webhooks and sentinel
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,459,"* 5490750 fix: remove as any casts, add WhatsApp models to tenant isolation, save outbound messages before Meta API"
SAAS_SUBSCRIPTIONS_PACKAGES,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,41,* 3d6c18a fix(licensing): close dedicated subscription residue
SAAS_SUBSCRIPTIONS_PACKAGES,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,43,* b2a10e9 REDIC_COPY — Final Subscription Residue Closure
SAAS_SUBSCRIPTIONS_PACKAGES,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,44,* 671e546 fix(agents): hide subscription UI in dedicated deployments
SAAS_SUBSCRIPTIONS_PACKAGES,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,45,* 9db1a10 feat(licensing): close SaaS subscription paths in dedicated deployments
SAAS_SUBSCRIPTIONS_PACKAGES,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,221,* 3f37cc7 fix(settings-agents): finalize standalone agents and subscription catalog
SAAS_SUBSCRIPTIONS_PACKAGES,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,227,* 95ace24 feat(licensing): support SaaS and dedicated copy modes
PER_TENANT_INTEGRATIONS,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,284,* 270d6be fix(whatsapp): harden tenant integration foundation
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,41,* 3d6c18a fix(licensing): close dedicated subscription residue
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,45,* 9db1a10 feat(licensing): close SaaS subscription paths in dedicated deployments
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,51,* 678c198 feat(license): allow dedicated copy mode in production (#32)
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,209,* 8bc559a feat(compliance): secure ZATCA with Saudi trust gates
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,224,* ac28ab6 feat(agents): honor deployment license during activation
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,225,* 14c4cd3 feat(settings): expose dedicated license mode
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,226,* 7902b45 fix(licensing): block purchases for dedicated copies
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,227,* 95ace24 feat(licensing): support SaaS and dedicated copy modes
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,421,* ea52b3a Fix AI licensing taxonomy: use canonical plans from plan-guard
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,435,"* f3011bb Financial truth & safety: manual payment labels, audit logs, mock simulation badges, ZATCA untested label, plan enforcement truth"
INTERNAL_ORG_ISOLATION,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,172,| * f49db60 docs(p0): align evidence hashes with review branch
INTERNAL_ORG_ISOLATION,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,232,* 3e69a02 fix(security): enforce provider action roles and production guards
INTERNAL_ORG_ISOLATION,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,302,"* d46d61a fix(security): P0 gate — default role READ_ONLY, remove localStorage trust, server action rate limiting"
INTERNAL_ORG_ISOLATION,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,303,* 27364ac fix(settings): add team pagination
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/REMOTE_HEADS_READ_ONLY.txt,17,0f8f315bd7616709a37b8bfbb16726fd398134bb refs/heads/repair/hotfix-tenant-context
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/REMOTE_HEADS_READ_ONLY.txt,19,723931f76ee8031d1c43668aabab5ccc46679e39 refs/heads/repair/login-tenant-resolution
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/REMOTE_HEADS_READ_ONLY.txt,27,74590a65f1eb66a85bfc95d6a50bb6b361161dd0 refs/heads/repair/r01-tenant-isolation-closure
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/REMOTE_HEADS_READ_ONLY.txt,29,30103ba12dbc5304940700e2dbdca3a2ac4423c8 refs/heads/repair/tenant-context-singleton
INTERNAL_ORG_ISOLATION,orca_baseline_extracted/01_GIT/WORKTREES.txt,5,branch refs/heads/work/orca-pre-parallel-20260715
INTERNAL_ORG_ISOLATION,orca_baseline_extracted/01_GIT/WORKTREES.txt,9,branch refs/heads/work/advertising-page
INTERNAL_ORG_ISOLATION,orca_baseline_extracted/01_GIT/WORKTREES.txt,13,branch refs/heads/claude/property-offers-visual-audit-83d21e
INTERNAL_ORG_ISOLATION,orca_baseline_extracted/01_GIT/WORKTREES.txt,17,branch refs/heads/claude/property-offers-visual-audit-bbd9db
INTERNAL_ORG_ISOLATION,orca_baseline_extracted/01_GIT/WORKTREES.txt,21,branch refs/heads/work/email-page
INTERNAL_ORG_ISOLATION,orca_baseline_extracted/01_GIT/WORKTREES.txt,25,branch refs/heads/work/projects-visual-replanning-20260718
INTERNAL_ORG_ISOLATION,orca_baseline_extracted/01_GIT/WORKTREES.txt,29,branch refs/heads/work/properties-visual-replanning-20260718
INTERNAL_ORG_ISOLATION,orca_baseline_extracted/01_GIT/WORKTREES.txt,33,branch refs/heads/work/tours-visual-replanning-20260718
TENANT_REGISTRATION_ONBOARDING,orca_baseline_extracted/02_INVENTORIES/ACTION_CANDIDATE_FILES.txt,24,app\actions\onboarding.ts
TENANT_REGISTRATION_ONBOARDING,orca_baseline_extracted/02_INVENTORIES/ACTION_CANDIDATE_FILES.txt,28,app\actions\register.ts
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/02_INVENTORIES/API_ROUTE_FILES.txt,10,app\api\cron\zatca\route.ts
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/02_INVENTORIES/API_ROUTE_FILES.txt,113,app\api\v1\zatca\activity\route.ts
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/02_INVENTORIES/API_ROUTE_FILES.txt,114,app\api\v1\zatca\csid\route.ts
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/02_INVENTORIES/API_ROUTE_FILES.txt,115,app\api\v1\zatca\dashboard\route.ts
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/02_INVENTORIES/API_ROUTE_FILES.txt,116,app\api\v1\zatca\device\[id]\route.ts
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/02_INVENTORIES/API_ROUTE_FILES.txt,117,app\api\v1\zatca\device\route.ts
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/02_INVENTORIES/API_ROUTE_FILES.txt,118,app\api\v1\zatca\queue\[id]\retry\route.ts
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/02_INVENTORIES/API_ROUTE_FILES.txt,119,app\api\v1\zatca\queue\route.ts
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/02_INVENTORIES/API_ROUTE_FILES.txt,120,app\api\v1\zatca\status\[id]\route.ts
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/02_INVENTORIES/API_ROUTE_FILES.txt,121,app\api\v1\zatca\submit\[id]\route.ts
TENANT_REGISTRATION_ONBOARDING,orca_baseline_extracted/02_INVENTORIES/APP_ROUTES_AND_STATES.txt,159,app\operations\onboarding\page.tsx
TENANT_REGISTRATION_ONBOARDING,orca_baseline_extracted/02_INVENTORIES/APP_ROUTES_AND_STATES.txt,182,app\register\page.tsx
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/02_INVENTORIES/APP_ROUTES_AND_STATES.txt,11,app\api\cron\zatca\route.ts
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/02_INVENTORIES/APP_ROUTES_AND_STATES.txt,114,app\api\v1\zatca\activity\route.ts
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/02_INVENTORIES/APP_ROUTES_AND_STATES.txt,115,app\api\v1\zatca\csid\route.ts
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/02_INVENTORIES/APP_ROUTES_AND_STATES.txt,116,app\api\v1\zatca\dashboard\route.ts
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/02_INVENTORIES/APP_ROUTES_AND_STATES.txt,117,app\api\v1\zatca\device\[id]\route.ts
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/02_INVENTORIES/APP_ROUTES_AND_STATES.txt,118,app\api\v1\zatca\device\route.ts
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/02_INVENTORIES/APP_ROUTES_AND_STATES.txt,119,app\api\v1\zatca\queue\[id]\retry\route.ts
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/02_INVENTORIES/APP_ROUTES_AND_STATES.txt,120,app\api\v1\zatca\queue\route.ts
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/02_INVENTORIES/APP_ROUTES_AND_STATES.txt,121,app\api\v1\zatca\status\[id]\route.ts
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/02_INVENTORIES/APP_ROUTES_AND_STATES.txt,122,app\api\v1\zatca\submit\[id]\route.ts
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/02_INVENTORIES/PACKAGE_SCRIPTS.json,13,"""test:acceptance"": ""vitest run tests/auth.test.ts tests/tenant-isolation.test.ts tests/p2-health-readiness.test.ts tests/payment-service.test.ts tests/phase02-full-closure.test.ts \u0026\u0026 npm run test:whatsapp \u0026\u0026 npm run test:sentinel"""
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/02_INVENTORIES/PRISMA_MODELS.txt,62,Tenant
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/02_INVENTORIES/PRISMA_MODELS.txt,83,ZatcaDevice
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/02_INVENTORIES/PRISMA_MODELS.txt,84,ZatcaQueue
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/02_INVENTORIES/PROJECT_FILE_INVENTORY.tsv,382,lib\tenant-context.ts 2001 2026-07-11T10:53:46.4746624Z
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/02_INVENTORIES/PROJECT_FILE_INVENTORY.tsv,383,lib\tenant-isolation.ts 1745 2026-07-11T10:53:46.4746624Z
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/02_INVENTORIES/PROJECT_FILE_INVENTORY.tsv,384,lib\tenant-model-policy.ts 3198 2026-07-14T21:40:45.5175862Z
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/02_INVENTORIES/PROJECT_FILE_INVENTORY.tsv,385,lib\tenant-prisma-enforcement.ts 3283 2026-07-11T10:53:46.4746624Z
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/02_INVENTORIES/PROJECT_FILE_INVENTORY.tsv,386,lib\tenant.ts 3395 2026-07-11T10:53:46.4746624Z
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/02_INVENTORIES/PROJECT_FILE_INVENTORY.tsv,459,lib\domain\transaction-spine\validate-tenant.ts 1620 2026-07-11T10:53:46.4413473Z
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/02_INVENTORIES/PROJECT_FILE_INVENTORY.tsv,585,tests\email-provider-tenant-connection.test.ts 4491 2026-07-14T21:40:45.5375997Z
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/02_INVENTORIES/PROJECT_FILE_INVENTORY.tsv,593,tests\installment-ngenius-tenant-context.test.ts 1292 2026-07-14T21:40:45.5416009Z
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/02_INVENTORIES/PROJECT_FILE_INVENTORY.tsv,597,tests\login-action-tenant-resolution.test.ts 6175 2026-07-11T10:53:46.6070366Z
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/02_INVENTORIES/PROJECT_FILE_INVENTORY.tsv,611,tests\operations-tenant-context.test.ts 2438 2026-07-14T21:40:45.5496017Z
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/02_INVENTORIES/PROJECT_FILE_INVENTORY.tsv,612,tests\p0-tenant-route-isolation.test.ts 5119 2026-07-14T21:40:45.5505999Z
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/02_INVENTORIES/PROJECT_FILE_INVENTORY.tsv,614,tests\p1-tenant-mutation-hardening.test.ts 17545 2026-07-14T21:40:45.5525996Z
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/02_INVENTORIES/PROJECT_FILE_INVENTORY.tsv,625,tests\payment-reconciliation-tenant-isolation.test.ts 676 2026-07-14T21:40:45.5525996Z
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/02_INVENTORIES/PROJECT_FILE_INVENTORY.tsv,637,tests\r01-tenant-context.test.ts 9348 2026-07-11T10:53:46.6223130Z
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/02_INVENTORIES/PROJECT_FILE_INVENTORY.tsv,638,tests\r01-tenant-model-policy.test.ts 4631 2026-07-14T21:40:45.5555997Z
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/02_INVENTORIES/PROJECT_FILE_INVENTORY.tsv,648,tests\sales-contract-tenant-context.test.ts 1106 2026-07-14T21:40:45.5616012Z
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/02_INVENTORIES/PROJECT_FILE_INVENTORY.tsv,658,tests\tenant-context-singleton.test.ts 725 2026-07-11T10:53:46.6401099Z
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/02_INVENTORIES/PROJECT_FILE_INVENTORY.tsv,659,tests\tenant-isolation.test.ts 3282 2026-07-11T10:53:46.6401099Z
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/02_INVENTORIES/PROJECT_FILE_INVENTORY.tsv,660,tests\tenant-resolution-boundary.test.ts 6642 2026-07-11T10:53:46.6401099Z
SAAS_SUBSCRIPTIONS_PACKAGES,orca_baseline_extracted/02_INVENTORIES/PROJECT_FILE_INVENTORY.tsv,568,tests\dedicated-copy-subscription-closure.test.ts 9100 2026-07-11T10:53:46.5918912Z
SAAS_SUBSCRIPTIONS_PACKAGES,orca_baseline_extracted/02_INVENTORIES/PROJECT_FILE_INVENTORY.tsv,575,tests\dedicated-subscription-residue-closure.test.ts 9632 2026-07-11T10:53:46.5955628Z
TENANT_REGISTRATION_ONBOARDING,orca_baseline_extracted/02_INVENTORIES/PROJECT_FILE_INVENTORY.tsv,30,app\actions\onboarding.ts 1624 2026-07-11T10:53:46.0528522Z
TENANT_REGISTRATION_ONBOARDING,orca_baseline_extracted/02_INVENTORIES/PROJECT_FILE_INVENTORY.tsv,34,app\actions\register.ts 8625 2026-07-11T10:53:46.0641089Z
TENANT_REGISTRATION_ONBOARDING,orca_baseline_extracted/02_INVENTORIES/PROJECT_FILE_INVENTORY.tsv,216,app\operations\onboarding\OnboardingForm.tsx 4067 2026-07-11T10:53:46.1927159Z
TENANT_REGISTRATION_ONBOARDING,orca_baseline_extracted/02_INVENTORIES/PROJECT_FILE_INVENTORY.tsv,217,app\operations\onboarding\page.tsx 2207 2026-07-14T21:42:09.0722593Z
TENANT_REGISTRATION_ONBOARDING,orca_baseline_extracted/02_INVENTORIES/PROJECT_FILE_INVENTORY.tsv,238,app\register\page.tsx 1195 2026-07-11T10:53:46.2031357Z
